#,Photo,Product,Category,Section,Material,Dimensions (cm),Keep / Remove,Notes
24,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/silver-teapot-023.jpg"", 1)",Silver Teapot,Silver Teapot,Tea & Coffee Service,Silver-plate,,,
25,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/petite-teapot-creamer-024.jpg"", 1)",Petite Teapot & Creamer,Petite Teapot & Creamer,Tea & Coffee Service,Silver-plate,,,
26,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/petite-teapot-creamer-025.jpg"", 1)",Petite Teapot & Creamer,Petite Teapot & Creamer,Tea & Coffee Service,Silver-plate,,,
27,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/silver-coffee-pot-026.jpg"", 1)",Silver Coffee Pot,Silver Coffee Pot,Tea & Coffee Service,Silver-plate,,,
28,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/silver-coffee-pot-027.jpg"", 1)",Silver Coffee Pot,Silver Coffee Pot,Tea & Coffee Service,Silver-plate,,,
29,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-soup-tureen-028.jpg"", 1)",Footed Soup Tureen,Footed Soup Tureen,Covered Dishes & Tureens,Silver-plate,,,
30,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/hammered-serving-bowl-029.jpg"", 1)",Hammered Serving Bowl,Hammered Serving Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
31,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-oval-server-030.jpg"", 1)",Footed Oval Server,Footed Oval Server,"Bowls, Baskets & Compotes",Silver-plate,,,
32,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/handled-footed-dish-031.jpg"", 1)",Handled Footed Dish,Handled Footed Dish,"Bowls, Baskets & Compotes",Silver-plate,,,
33,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/conical-covered-jar-032.jpg"", 1)",Conical Covered Jar,Conical Covered Jar,Covered Dishes & Tureens,Silver-plate,,,
34,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/classic-teapot-033.jpg"", 1)",Classic Teapot,Classic Teapot,Tea & Coffee Service,Silver-plate,,,
35,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/covered-entr-e-dish-034.jpg"", 1)",Covered Entrée Dish,Covered Entrée Dish,Covered Dishes & Tureens,Silver-plate,,,
36,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/covered-entr-e-dish-035.jpg"", 1)",Covered Entrée Dish,Covered Entrée Dish,Covered Dishes & Tureens,Silver-plate,,,
37,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/covered-entr-e-dish-036.jpg"", 1)",Covered Entrée Dish,Covered Entrée Dish,Covered Dishes & Tureens,Silver-plate,,,
38,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/hammered-tumbler-vase-037.jpg"", 1)",Hammered Tumbler Vase,Hammered Tumbler Vase,Wine & Ice,Silver-plate,,,
39,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/geometric-canister-038.jpg"", 1)",Geometric Canister,Geometric Canister,Wine & Ice,Silver-plate,,,
40,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/three-tier-dessert-stand-039.jpg"", 1)",Three-Tier Dessert Stand,Three-Tier Dessert Stand,Tiered Stands,Silver-plate,,,
41,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/two-tier-stand-040.jpg"", 1)",Two-Tier Stand,Two-Tier Stand,Tiered Stands,Silver-plate,,,
42,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/two-tier-stand-041.jpg"", 1)",Two-Tier Stand,Two-Tier Stand,Tiered Stands,Silver-plate,,,
43,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/gold-handled-round-tray-042.jpg"", 1)",Gold-Handled Round Tray,Gold-Handled Round Tray,Trays & Platters,Silver-plate,,,
44,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/gold-handled-dish-043.jpg"", 1)",Gold-Handled Dish,Gold-Handled Dish,Trays & Platters,Silver-plate,,,
45,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/gold-handled-covered-dish-044.jpg"", 1)",Gold-Handled Covered Dish,Gold-Handled Covered Dish,Covered Dishes & Tureens,Silver-plate,,,
46,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-sherbet-cup-045.jpg"", 1)",Footed Sherbet Cup,Footed Sherbet Cup,"Bowls, Baskets & Compotes",Silver-plate,,,
